Compound,CircuitKey,Era,pool_level,b,c,b_ci,c_ci,r2,n_stints,n_laps,temp_ref,b_temp,c_temp
MEDIUM,Japanese Grand Prix,0,circuit,0.06591641085888333,-0.0008717013002448129,0.019378740101249542,0.0008767853309829726,0.0538,55,901,31.1,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Japanese Grand Prix,1,circuit,0.03309317007805124,0.00024110707500123375,0.01684902267662953,0.0007798804451725597,0.1135,23,433,34.45,0.006481803447626622,-0.0001066954323061197
MEDIUM,Las Vegas Grand Prix,0,circuit,0.10570855581677628,-0.0028835161043775205,0.05237940483675938,0.002427534836961204,0.0379,47,584,17.69,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Mexico City Grand Prix,0,circuit,0.023795070375342477,0.0005945098025042295,0.008779933397672902,0.00027021345907442506,0.1806,78,2138,43.51,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Miami Grand Prix,0,circuit,0.05117516984694493,-0.0011272884245283222,0.018269848810617554,0.0007330176162002679,0.0262,73,1246,41.41,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Miami Grand Prix,1,circuit,0.015840402952466387,0.0018185896604196413,0.03435596996385622,0.0012434277109605511,0.1963,17,328,36.75,0.006481803447626622,-0.0001066954323061197
MEDIUM,Monaco Grand Prix,0,circuit,-0.07611288397409721,0.0008272449390884875,0.016502561216172197,0.00032613492097117346,-0.0264,49,1339,41.16,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Monaco Grand Prix,1,circuit,-0.04465814588765746,0.0018742708431289117,0.01530285267267613,0.00039306330983994854,0.2558,18,597,37.4,0.006481803447626622,-0.0001066954323061197
MEDIUM,Qatar Grand Prix,0,circuit,-0.11705272940256191,0.005748834231561621,0.05615668589291353,0.0028860018307703267,0.024,40,479,37.1,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Saudi Arabian Grand Prix,0,circuit,-0.002527009025141199,-0.000558114735228761,0.016380945471139705,0.0006022152560947953,0.0337,63,956,32.54,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Singapore Grand Prix,0,circuit,-0.04751640813446605,0.002201859349465246,0.011882429208811055,0.0003812310876039703,0.1381,57,1297,35.46,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Spanish Grand Prix,0,circuit,0.08510861182424277,0.0001550148685305256,0.0140276021672411,0.0006011287045511917,0.2868,83,1758,43.27,0.004322099629111507,-5.409007122080899e-05
MEDIUM,São Paulo Grand Prix,0,circuit,0.09008376780766564,-0.00010635141267785929,0.009432793828772636,0.00030739320781075573,0.3537,78,1656,39.25,0.004322099629111507,-5.409007122080899e-05
MEDIUM,United States Grand Prix,0,circuit,0.018654721593370647,0.0004272977208322305,0.009731867420641334,0.00037740456789026223,0.1086,96,1714,42.5,0.004322099629111507,-5.409007122080899e-05
SOFT,Abu Dhabi Grand Prix,0,era,0.08596345676519972,-0.00097776174562454,0.00736449525934028,0.00028839668258227337,0.0915,665,9585,34.0,-0.0013793204458665046,8.273554820053896e-05
SOFT,Australian Grand Prix,0,era,0.08596345676519972,-0.00097776174562454,0.00736449525934028,0.00028839668258227337,0.0915,665,9585,35.84,-0.0013793204458665046,8.273554820053896e-05
SOFT,Australian Grand Prix,1,circuit,-0.018906464563505376,0.003101123438347059,0.09763891419377504,0.004876058907558148,0.0527,9,105,35.95,0.009999999999999998,-9.426573566820267e-05
SOFT,Austrian Grand Prix,0,circuit,-0.4999999897720873,0.04153663913854838,0.41048708230941566,0.025570686228835147,0.3365,5,41,49.2,-0.0013793204458665046,8.273554820053896e-05
SOFT,Bahrain Grand Prix,0,circuit,0.16631321705724592,-0.0016374807614077443,0.021157396387363466,0.001051931060523425,0.3058,124,1459,28.41,-0.0013793204458665046,8.273554820053896e-05
SOFT,British Grand Prix,0,circuit,-0.01517512520053412,0.0008788425743243848,0.02881076037754452,0.0012936612981529338,0.0039,46,593,28.43,-0.0013793204458665046,8.273554820053896e-05
SOFT,Canadian Grand Prix,0,era,0.08596345676519972,-0.00097776174562454,0.00736449525934028,0.00028839668258227337,0.0915,665,9585,30.8,-0.0013793204458665046,8.273554820053896e-05
SOFT,Canadian Grand Prix,1,circuit,-0.29632857979986843,0.005692535548352714,0.0597421162361623,0.0019228985779681865,0.0465,22,391,17.9,0.009999999999999998,-9.426573566820267e-05
SOFT,Chinese Grand Prix,0,circuit,0.16471507469306035,0.004365142593503902,0.14762693947595146,0.008528934426872444,0.3412,6,61,29.9,-0.0013793204458665046,8.273554820053896e-05
SOFT,Chinese Grand Prix,1,era,-0.21260455486759636,0.0050809129942897754,0.029927982519379198,0.0008106898342197712,0.0731,56,798,22.4,0.009999999999999998,-9.426573566820267e-05
SOFT,Dutch Grand Prix,0,circuit,0.052089089460651196,-0.0007706715479485221,0.014644119883930396,0.0004994392570803158,0.0305,84,1257,29.04,-0.0013793204458665046,8.273554820053896e-05
SOFT,Emilia Romagna Grand Prix,0,circuit,0.0961050408615297,0.004596219353853211,0.2512726432851425,0.020979163154804865,0.2153,6,51,23.4,-0.0013793204458665046,8.273554820053896e-05
SOFT,Hungarian Grand Prix,0,circuit,-0.1345658421123287,0.013121786745353954,0.05299748358702307,0.0026576951569366796,0.3945,31,393,30.62,-0.0013793204458665046,8.273554820053896e-05
SOFT,Italian Grand Prix,0,circuit,-0.10260826610476817,0.007970269758457878,0.04670732657100605,0.0024488187836423283,0.3166,14,171,43.27,-0.0013793204458665046,8.273554820053896e-05
SOFT,Japanese Grand Prix,0,circuit,0.07251860081988316,0.0007852854136476302,0.07285933756870161,0.004226306977487374,0.1766,16,166,33.72,-0.0013793204458665046,8.273554820053896e-05
SOFT,Mexico City Grand Prix,0,circuit,0.03927452417865026,0.0006669150285363549,0.018014562176465458,0.0006563337362685096,0.1616,43,1043,46.93,-0.0013793204458665046,8.273554820053896e-05
SOFT,Miami Grand Prix,0,circuit,0.05377911914450508,-0.0017396664263161373,0.11054181690824236,0.00399556590901909,0.0186,5,58,44.22,-0.0013793204458665046,8.273554820053896e-05
SOFT,Miami Grand Prix,1,era,-0.21260455486759636,0.0050809129942897754,0.029927982519379198,0.0008106898342197712,0.0731,56,798,36.75,0.009999999999999998,-9.426573566820267e-05
SOFT,Monaco Grand Prix,0,circuit,0.2179155429848218,-0.003761605002769267,0.10689299472686321,0.004191338386391724,0.2507,8,111,42.9,-0.0013793204458665046,8.273554820053896e-05
SOFT,Monaco Grand Prix,1,circuit,-0.1027938609503138,0.0033772476351700237,0.04115944578742458,0.0009503962036995898,0.3109,19,235,37.4,0.009999999999999998,-9.426573566820267e-05
SOFT,Qatar Grand Prix,0,era,0.08596345676519972,-0.00097776174562454,0.00736449525934028,0.00028839668258227337,0.0915,665,9585,37.1,-0.0013793204458665046,8.273554820053896e-05
SOFT,Saudi Arabian Grand Prix,0,circuit,0.03013759853407076,0.00166324466442312,0.07596982720834564,0.0044854260369894036,0.1266,6,73,31.54,-0.0013793204458665046,8.273554820053896e-05
SOFT,Singapore Grand Prix,0,circuit,-0.06115423616810364,0.0020879322760961375,0.054945048864334045,0.002039538331639426,0.0104,21,330,34.84,-0.0013793204458665046,8.273554820053896e-05
SOFT,Spanish Grand Prix,0,circuit,0.05673348285787256,0.0020768694563312717,0.025533043038576116,0.0012193094431927937,0.1654,145,1982,43.98,-0.0013793204458665046,8.273554820053896e-05
SOFT,São Paulo Grand Prix,0,circuit,0.001063245294019377,0.002455041089705687,0.019304397966122787,0.0007261100152372753,0.1846,77,1305,45.35,-0.0013793204458665046,8.273554820053896e-05
SOFT,United States Grand Prix,0,circuit,0.03480665321365196,-0.00023565641650726398,0.025563368046937665,0.0009982148339437768,0.0657,20,421,45.42,-0.0013793204458665046,8.273554820053896e-05
WET,Canadian Grand Prix,0,era,-0.49999999999978045,0.00852080730717072,0.2931997973401472,0.01736928484414662,0.2428,19,165,25.8,0.009999999999999683,0.000205332603821254
WET,Monaco Grand Prix,0,circuit,-0.49999999999997147,0.008287776163158265,0.31975778724795423,0.018748460724499608,0.2307,17,152,31.22,0.009999999999999683,0.000205332603821254
INTERMEDIATE,*,-1,compound_global,-0.2468409766354416,0.0022375154063340712,0.025606063780365375,0.0008417615640933549,0.2262,210,2731,36.26,0.0,0.0
WET,*,-1,compound_global,-0.49999999999978045,0.00852080730717072,0.2931997973401472,0.01736928484414662,0.2428,19,165,36.26,0.0,0.0
