seed,mdp_time_s,ppo_time_s,mdp_finish,ppo_finish,mdp_legal,ppo_legal,ppo_minus_mdp_time_s
10197,5289.198301303046,5290.351812623554,3.0,3.0,1.0,1.0,1.153511320508187
10198,5305.608050466573,5264.240694517192,4.0,2.0,1.0,1.0,-41.36735594938091
10199,5260.060022132468,5259.4524877917975,2.0,2.0,1.0,1.0,-0.6075343406700995
10200,5269.655605167566,5271.817509509874,2.0,3.0,1.0,1.0,2.1619043423079347
10201,5253.175106914284,5253.850717211959,2.0,2.0,1.0,1.0,0.6756102976751208
10202,5239.397343158555,5242.070388588029,2.0,2.0,1.0,1.0,2.6730454294747688
10203,5250.484742322459,5255.372095255892,1.0,1.0,1.0,1.0,4.887352933433249
10204,5273.647842860364,5269.700125118792,3.0,3.0,1.0,1.0,-3.947717741571978
10205,5306.864563620139,5305.215809785647,4.0,4.0,1.0,1.0,-1.6487538344917994
10206,5261.413394541499,5281.398984243062,3.0,3.0,1.0,1.0,19.985589701563185
10207,5277.941065749921,5297.088149649579,3.0,2.0,1.0,1.0,19.147083899657446
10208,5349.346559611153,5310.941340141748,5.0,4.0,1.0,1.0,-38.40521946940498
10209,5309.1458037073,5302.8956300682175,4.0,4.0,1.0,1.0,-6.250173639082277
10210,5259.931399375496,5264.370440759611,2.0,2.0,1.0,1.0,4.4390413841147165
10211,5244.873571781245,5250.798850039674,2.0,2.0,1.0,1.0,5.925278258428989
10212,5271.002515379325,5269.860843252251,3.0,3.0,1.0,1.0,-1.1416721270743437
10213,5319.139276599875,5320.921251544352,3.0,3.0,1.0,1.0,1.7819749444770423
10214,5251.514232137734,5261.78161436677,1.0,1.0,1.0,1.0,10.26738222903532
10215,5273.859352697748,5274.028939861362,1.0,1.0,1.0,1.0,0.16958716361386905
10216,5273.940480964008,5271.9485286625695,3.0,3.0,1.0,1.0,-1.9919523014386868
10217,5260.081499497636,5257.75707443196,3.0,2.0,1.0,1.0,-2.3244250656762233
10218,5316.240297278184,5300.729842320173,4.0,3.0,1.0,1.0,-15.510454958010996
10219,5313.568313402444,5313.088826077602,4.0,4.0,1.0,1.0,-0.47948732484201173
10220,5268.698501049589,5250.952289045895,1.0,2.0,1.0,1.0,-17.74621200369438
10221,5251.332160799066,5252.722961207393,2.0,2.0,1.0,1.0,1.3908004083277774
10222,5284.359075784623,5280.808321166721,3.0,3.0,1.0,1.0,-3.550754617902385
10223,5252.774172389503,5253.526732470437,2.0,2.0,1.0,1.0,0.7525600809340176
10224,5332.199640395716,5282.172846943005,3.0,3.0,1.0,1.0,-50.02679345271099
10225,5267.130864714743,5276.144145458527,2.0,2.0,1.0,1.0,9.01328074378398
10226,5271.829968059758,5272.2591535817,3.0,2.0,1.0,1.0,0.42918552194169024
10227,5254.782656471044,5254.066459944412,2.0,2.0,1.0,1.0,-0.7161965266323023
10228,5290.027330521151,5287.473174946424,3.0,2.0,1.0,1.0,-2.5541555747277016
10229,5295.6783075878575,5306.599460317504,3.0,4.0,1.0,1.0,10.921152729646565
10230,5255.815898510393,5259.153492220039,1.0,1.0,1.0,1.0,3.337593709646171
10231,5263.9179368513915,5259.652100097759,3.0,3.0,1.0,1.0,-4.265836753632357
10232,5239.112475798507,5243.663429901431,2.0,2.0,1.0,1.0,4.550954102924152
