seed,mdp_time_s,ppo_time_s,mdp_finish,ppo_finish,mdp_legal,ppo_legal,ppo_minus_mdp_time_s
10066,5247.6367939224465,5309.66696299773,1.0,2.0,1.0,1.0,62.030169075283084
10067,5271.459177473203,5268.069360917887,3.0,3.0,1.0,1.0,-3.389816555316429
10068,5258.321336754493,5260.7261406812795,1.0,3.0,1.0,1.0,2.4048039267863714
10069,5251.602299585961,5253.99157010609,2.0,2.0,1.0,1.0,2.3892705201287754
10070,5267.6035489419355,5270.000430475984,3.0,3.0,1.0,1.0,2.396881534048589
10071,5249.268894084413,5274.8772380036635,2.0,3.0,1.0,1.0,25.60834391925073
10072,5285.167109700731,5282.171120152653,3.0,3.0,1.0,1.0,-2.995989548077887
10073,5319.512069706431,5316.651648004929,5.0,3.0,1.0,1.0,-2.8604217015026734
10074,5248.930257957594,5246.8367592978275,2.0,2.0,1.0,1.0,-2.0934986597667375
10075,5316.4098259803395,5276.899415048436,3.0,3.0,1.0,1.0,-39.51041093190361
10076,5243.40632085505,5270.495186662807,1.0,1.0,1.0,1.0,27.08886580775743
10077,5307.350874818889,5299.3601172730205,3.0,2.0,1.0,1.0,-7.990757545868291
10078,5299.139655586521,5296.43961172937,3.0,3.0,1.0,1.0,-2.700043857151286
10079,5273.901008823374,5271.726719697402,3.0,3.0,1.0,1.0,-2.1742891259718817
10080,5252.973213275446,5266.64002557111,1.0,1.0,1.0,1.0,13.666812295663476
10081,5266.538477862358,5284.2059137484675,2.0,3.0,1.0,1.0,17.66743588610916
10082,5251.984277378603,5246.751317898387,2.0,1.0,1.0,1.0,-5.232959480215868
10083,5310.972753831118,5308.707680834488,4.0,4.0,1.0,1.0,-2.265072996629897
10084,5277.060032421556,5271.564891497977,3.0,3.0,1.0,1.0,-5.495140923578219
10085,5256.390681710298,5272.323750320433,3.0,3.0,1.0,1.0,15.933068610134796
10086,5259.903830131079,5282.052897218345,3.0,3.0,1.0,1.0,22.149067087265394
10087,5258.222615923704,5250.4686927702,3.0,2.0,1.0,1.0,-7.753923153504729
10088,5243.785998798125,5255.991907900798,1.0,1.0,1.0,1.0,12.205909102673104
10089,5263.307295209482,5266.557761926111,2.0,2.0,1.0,1.0,3.2504667166294894
10090,5297.811988250152,5262.703683825027,3.0,1.0,1.0,1.0,-35.108304425125425
10091,5259.680638260635,5256.73506557255,2.0,2.0,1.0,1.0,-2.945572688084212
10092,5329.598692287073,5330.833160212301,4.0,4.0,1.0,1.0,1.2344679252273636
10093,5269.938352879967,5268.670520116406,2.0,2.0,1.0,1.0,-1.2678327635612732
10094,5256.67323838117,5251.669156298798,2.0,2.0,1.0,1.0,-5.004082082372406
10095,5265.345001530348,5282.66434192057,3.0,3.0,1.0,1.0,17.31934039022235
10096,5296.055234208666,5298.485839096864,2.0,2.0,1.0,1.0,2.430604888198104
10097,5263.393328091803,5250.446500821294,1.0,1.0,1.0,1.0,-12.946827270508948
10098,5255.987847571137,5257.8828469594655,3.0,3.0,1.0,1.0,1.8949993883288698
10099,5255.394745761519,5254.018278441275,2.0,1.0,1.0,1.0,-1.3764673202440463
10100,5253.704967677109,5261.479436756642,1.0,1.0,1.0,1.0,7.774469079532537
10101,5267.13397095997,5281.5343447403375,3.0,3.0,1.0,1.0,14.400373780367772
10102,5272.260065974892,5275.128507128095,2.0,2.0,1.0,1.0,2.8684411532030936
10103,5294.509877501211,5306.818867033587,3.0,3.0,1.0,1.0,12.308989532375563
10104,5357.39942655312,5290.819980949764,4.0,3.0,1.0,1.0,-66.57944560335636
10105,5296.614827040827,5313.0891809042505,3.0,3.0,1.0,1.0,16.474353863423858
10106,5247.210368786225,5247.2569066626,2.0,2.0,1.0,1.0,0.04653787637471396
10107,5308.916805167007,5308.898716716095,4.0,4.0,1.0,1.0,-0.018088450911818654
10108,5244.192818688691,5247.434867252903,2.0,2.0,1.0,1.0,3.242048564212382
10109,5257.478753443648,5263.073217778595,3.0,3.0,1.0,1.0,5.594464334946679
10110,5270.4765930260255,5271.766341194656,3.0,3.0,1.0,1.0,1.2897481686304673
